away_corner_kick,away_foul,away_offside,away_pass_fail,away_pass_success,away_possession,away_red_card,away_score,away_shot,away_shot_accuracy,away_shot_on_target,away_tackle_success,away_team,away_yellow_card,home_corner_kick,home_foul,home_offside,home_pass_fail,home_pass_success,home_possession,home_red_card,home_score,home_shot,home_shot_accuracy,home_shot_on_target,home_tackle_success,home_team,home_yellow_card,stadium,week
5,12,2,80,298,55,0,2,12,54.55,6,17,PERSIS SOLO,3,5,17,4,70,251,45,0,3,23,35.29,6,16,BALI UNITED FC,2,"Stadion Kapten I Wayan Dipta, Gianyar",26
4,17,3,77,275,53,0,0,5,25,1,16,PERSEBAYA SURABAYA,3,2,13,1,94,244,47,0,0,13,50,5,14,PSM MAKASSAR,2,"Stadion Batakan, Balikpapan",26
8,16,5,75,251,44,0,1,5,100,1,17,PS BARITO PUTERA,2,3,19,1,48,323,56,0,3,13,63.64,7,9,PERSIK KEDIRI,2,"Stadion Brawijaya, Kediri",26
5,9,1,63,460,66,0,0,8,42.86,3,11,PSIS SEMARANG,3,9,15,4,74,241,34,0,3,14,54.55,6,17,PERSIB BANDUNG,1,"Stadion Si Jalak Harupat, Kab. Bandung",26
2,13,1,87,278,44,0,3,15,50,6,18,PERSITA TANGERANG,1,2,10,2,74,364,56,0,3,22,31.25,5,10,PSS SLEMAN,2,"Stadion Manahan, Solo",26
5,13,4,69,349,60,0,0,9,37.5,3,10,RANS NUSANTARA FC,1,6,24,1,69,240,40,0,5,17,73.33,11,11,DEWA UNITED FC,2,"Stadion Indomilk Arena, Tangerang",26
4,21,4,68,243,36,0,0,7,66.67,4,14,BHAYANGKARA PRESISI INDONESIA FC,3,4,14,1,63,443,64,0,4,19,35.29,6,14,BORNEO FC SAMARINDA,1,"Stadion Batakan, Balikpapan",26
8,8,2,68,187,29,0,2,11,70,7,9,PERSIKABO 1973,2,8,15,4,75,458,71,0,3,25,50,11,9,MADURA UNITED FC,3,"Stadion Gelora Bangkalan, Bangkalan",26
5,24,3,72,351,56,1,2,10,62.5,5,16,PERSIJA JAKARTA,2,3,15,2,63,285,44,0,3,11,40,4,11,AREMA FC,2,"Stadion Kapten I Wayan Dipta, Gianyar",26
8,14,1,86,290,61,0,0,12,57.14,4,20,PSM MAKASSAR,2,4,12,4,69,187,39,1,1,5,66.67,2,18,PERSIS SOLO,1,"Stadion Manahan, Solo",27
5,18,1,63,179,48,0,3,17,63.64,7,14,BALI UNITED FC,4,7,17,0,69,201,52,0,4,11,70,7,9,PS BARITO PUTERA,3,"Stadion Sultan Agung, Bantul",27
1,18,2,67,292,48,0,4,12,33.33,4,13,PERSIB BANDUNG,0,4,16,1,85,321,52,0,0,12,16.67,2,13,RANS NUSANTARA FC,2,"Stadion Sultan Agung, Bantul",27
5,15,3,78,344,56,0,1,14,66.67,6,17,PERSIK KEDIRI,1,5,10,1,69,276,44,0,2,13,77.78,7,12,PSIS SEMARANG,1,"Stadion Moch. Soebroto, Magelang",27
